기사날짜,기사제목,네이버 뉴스 url
2023.01.01.,"무료 서비스에도 보상 나선 카카오, IT장애 보상 전례 될까",url없음,<네이버 기사 없음>
2023.01.01.,"[2023 전망] 네이버·카카오, 경기침체에도 투자 확대...서비스 역량 강화 초첨",url없음,<네이버 기사 없음>
2023.01.01.,카카오뱅크 대차잔고 54만주 규모 급증…공매도 거래량과 주가는?,url없음,<네이버 기사 없음>
2023.01.01.,"[사이다IT] ""사무실 다시 출근하세요""…'신기루'된 IT업계 재택근무 혁신",https://n.news.naver.com/mnews/article/003/0011621011?sid=105,"기사내용 요약2023년 인플레이션 우려·경기침체 이어질 듯구글·메타·트위터 등 美 빅테크는 대규모 감원 나서카카오, 내년 3월 재택근무 종료…게임업계는 대부분 종료경기 침체 대비해 운영 효율성 증대 경영 화두로'개발자' 채용 붐 사그라들고 신규 채용 축소 등 '채용 한파'[울산=뉴시스] 배병수 기자 =  2023년 계묘년(癸卯年)  첫 날이 밝았다 1일 오전 울산 울주군 서생면 간절곶에서 시민들이 새해 첫 붉은 해를 바라보고 있다. 2023.01.01. bbs@newsis.com.[서울=뉴시스]최은수 기자 = 2023년 새해 계묘년 검은 토끼의 해가 밝았습니다. 그런데 새해를 맞이하는 기업들의 표정은 밝지 않습니다. 글로벌 경기 침체 본격화, 인플레이션과 금리 인상 등 경제 여건이 더욱 녹록지 않을 것으로 전망되기 때문인데요. 코로나19 팬데믹에 힘 입어 고공 성장했던 IT·게임업계도 새해 ‘허리띠’를 바짝 졸라 맬 채비를 하고 있습니다.국내 양대 플랫폼 기업 네이버와 카카오는 인재 채용 속도 조절에 나섰고, “어디서든 일한다”라는 키워드 아래 호기롭게 도입했던 재택(원격) 근무제는 재검토되고 있습니다. 신작 개발이 급해진 게임업계는 이미 대부분 전면 출근제로 전환했습니다. 또 불필요한 사업들은 가감없이 ‘매각’하고 감원 칼바람도 불고 있습니다. 이런 분위기는 이미 글로벌 빅테크 기업들이 먼저였습니다. 아마존은 지난해 11월 1만명 정리해고에 나섰고, 메타는 1만1000명 이상 직원을 구조조정했습니다. 트위터 최고경영자(CEO) 머스크는 전체 직원 절반 규모인 3700명을 해고했죠.""다시 출근합시다""…다시 회사 나오라는 IT 기업들"
2023.01.01.,10대 고객 잡기 나선 카카오뱅크-토스뱅크…‘이젠 알파세대로’,url없음,<네이버 기사 없음>
2023.01.01.,대웅제약·카카오게임즈·쏠리드 [주간 추천종목-하나증권],url없음,<네이버 기사 없음>
2023.01.01.,"[SR사회공헌] 카카오게임즈, 뇌병변 장애 환아 치료비 위해 2000만원 전달",url없음,<네이버 기사 없음>
2023.01.01.,'계묘년 새해' 첫 등판 앞둔 카카오게임즈 에버소울...亞 게임판 흔든다,url없음,<네이버 기사 없음>
2023.01.01.,“국민주? 쳐다보기도 싫다”…일년 내내 마음고생만 한 동학개미,https://n.news.naver.com/mnews/article/009/0005068403?sid=101,"삼성전자·카카오·네이버 등개인 보유 상위종목에 이름 올려네카오 평균수익률 -40%대 추락삼성전자, 네이버, 카카오 등 소위 ‘국민주’에 투자한 개인투자자(개미)들이 보통 6개월 초과 2년 이하 기간 동안 주식을 보유했지만 2022년 증시 부진에 따라 적게는 -20%, 많게는 -47%에 달하는 평균 수익률을 기록한 것으로 집계됐다.키움증권에 따르면 키움증권을 통해 국내 주식에 투자한 개인 투자자들이 2022년 말 기준 가장 많이 보유한 상위 5개 종목은 삼성전자(114만명), 카카오(41만명), 현대차(21만명), 네이버(20만명), SK하이닉스(18만명) 순이었다.개미들은 5개 종목을 보통 6개월 초과 2년 이하 사이 기간 동안 보유한 것으로 나타났다. 특히 2021년 하반기쯤 매수해 지금까지 보유한 투자자들이 가장 많았다.5개 종목에 투자한 개인투자자들은 2022년 증시 부진에 따라 큰 손실은 입은 것으로 집계됐다. 2022년 연말 기준 카카오, 네이버 등 인터넷주를 보유한 개인투자자들의 평균 수익률은 각각 -47%, -41%에 달했다. 대표 국민주인 삼성전자의 평균 수익률은 -20%를 기록했다. 현대차(-24%), SK하이닉스(-25%)도 부진한 수익률을 보였다. 평균 수익률은 5개 종목을 보유한 키움증권 투자자자 중 극단값으로 인한 영향을 줄이기 위해 상단 2.5%, 하단 2.5%에 해당하는 데이터를 제외하고 산출했다.주가가 급락했음에도 불구하고 개미들은 추가매수에 적극적으로 나선 것으로 조사됐다. 추가매수 투자자의 비율은 삼성전자가 75%로 가장 높았다. 나머지 4개 종목의 추가매수 투자자 비율도 평균 62%에 달했다. 안홍철 키움증권 데이터랩팀장은 “개인투자자들의 추가 매수가 많은 이유는 평균단가를 낮추기 위한 것으로 보인다”며 “단번에 추가매수를 하기보다는 여러 일자에 나눠 매수한 투자자들이 많았다”고 설명했다.삼성전자의 보유 기간은 6개월 초과 2년 이하 구간이 82%로 대다수를 차지했다. 특히 1년 반 초과 2년 이하 투자자가 32%로 가장 많았지만 수익률은 -29%로 가장 저조한 성적을 보였다. 1년 초과 1년 반 이하 투자자가 27.7%로 두 번째로 많았지만 수익률은 -23%에 그쳤다. 보유기간이 3년 이상인 투자자들만 플러스 수익률을 기록했다.네이버도 6개월 초과 2년 이하 투자자 비율이 73.8%에 달했다. 특히 2022년 상반기 매수해 지금까지 보유한 6개월 초과 1년 이하 보유 투자자 비율이 30%로 가장 많았다. 1년 초과 1년 반 이하 투자한 비율은 27%로 두 번째로 많았다. 하지만 이 구간 평균 수익률은 가장 좋지 않았다. 1년 초과 1년 반 이하 개인투자자들의 수익률은 -54%로 가장 부진했다. 1년 반 초과 2년 이하 투자한 개미들의 평균 수익률은 -50%에 달했다. 6개월 초과 1년 이하 기간 투자한 개미들의 수익률도 -43%로 좋지 않았다.카카오에 투자한 개미들의 비율도 6개월 초과 2년 이하 구간에 가장 많았다. 1년 초과 1년 반 이하 구간이 42%로 가장 많았다. 그 다음이 6개월 초과 1년 이하 구간(22.5%), 1년 반 초과 2년 이하 구간(18.9%) 순이었다. 이 기간 투자한 개미들의 평균 수익률이 가장 좋지 않았다. 1년 초과 1년 반 이하 구간 평균 수익률은 -59%로 가장 좋지 않았다. 1년 반 초과 2년 이하 사이 구간 수익률이 -52%로 두 번째로 좋지 않았다. 6개월 초과 1년 이하 구간 수익률도 -42%로 부진했다.이 외에 현대차의 경우 1년 반 초과 2년 이하 보유 투자자가 36%로 가장 많았지만 평균 수익률은 -33%로 가장 저조했다. SK하이닉스의 경우 1년 반 초과 2년 이하 보유 투자자가 24%로 가장 많았고, 평균 수익률도 -39%로 가장 저조한 성적을 보였다. 서울 서초구 삼성전자 서초사옥의 모습 키움증권 개인투자자 보유 상위 5개 종목 키움증권 개인투자자 국민주 평균 보유기간 및 수익률"
2023.01.01.,"[속보]尹 ""3대 개혁 미룰 수 없어…가장 먼저 노동개혁""",https://n.news.naver.com/mnews/article/079/0003722885?sid=100,"연합뉴스[속보] 尹 ""3대 개혁 미룰 수 없어…가장 먼저 노동개혁""※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.01.01.,[은행관련주] 제주은행·카카오뱅크·우리금융지주·BNK금융지주…일제히 주가 '하락',url없음,<네이버 기사 없음>
2023.01.01.,'관심사' 기반의 오픈 커뮤니티 강화,https://n.news.naver.com/mnews/article/009/0005068516?sid=101,"카카오판교 카카오 사옥 전경.  【사진 제공=카카오】카카오는 내년도 신사업으로 '비(非)지인' '관심사' 기반의 오픈 커뮤니티 강화에 역점을 두고 있다. 기존 카카오의 핵심 서비스인 카카오톡에서 2015년 출시된 오픈채팅이 현재 젊은 세대 등을 중심으로 큰 인기를 얻으면서 내년엔 글로벌 사용자를 타깃으로 한 별도 앱 '오픈링크'를 선보인다는 계획이다. 오픈채팅은 카카오톡에서 공통의 관심사를 지닌 사람들끼리 채팅방을 만들어 대화할 수 있는 채팅 서비스다. 카카오톡 일반채팅과 달리 전화번호나 아이디 등 이용자가 친구 추가 절차 없이 서로 일면식 없는 사이더라도 공통의 관심사 하나만으로 소통이 가능한 사회관계망서비스(SNS) 기반의 익명 커뮤니티인 셈이다.이에 따라 내년 상반기 공개될 예정인 오픈링크는 카카오의 다양한 글로벌 서비스와 연계해 취미나 장소 등 공통 관심사를 가진 이용자가 모여 소통하고 즐길 수 있는 차세대 커뮤니티가 될 것으로 전망된다. 오픈링크는 뮤직(멜론), 웹툰, 게임 등 카카오 공동체가 갖고 있는 주요 서비스와 연계되며 글로벌 사용자 확대를 위해 언어도 영어 등 다국가를 지원한다. 가령 한국 웹툰을 좋아하는 글로벌 팬들이 카카오웹툰의 오픈링크에서 만나 작품에 대한 이야기를 나눌 수 있도록 한다는 것이다.카카오 관계자는 ""기존 지인 기반의 메신저를 넘어 비지인 관심 기반 플랫폼으로 진화하며 전 세계 사람이 시공간 제약 없이 소통할 수 있는 창구를 구축해 글로벌 시장을 적극 공략해 나갈 것""이라고 강조했다.회사 측은 ""카카오는 미래 10년을 위한 핵심 키워드로 '비욘드 코리아(Beyond Korea)' '비욘드 모바일(Beyond Mobile)'을 선포하고 전략 방향을 재편하면서 글로벌 사업의 기틀을 다지고 있다""면서 ""대표적으로 카카오엔터테인먼트와 카카오픽코마 등이 보유한 강력한 콘텐츠 경쟁력을 바탕으로 해외 매출 비중을 확대하는 등 글로벌 사업이 지속적으로 확장되고 있다""고 전했다."
2023.01.01.,심부름 앱 해주세요 조현영 대표 ①,url없음,<네이버 기사 없음>
